locn_nbr,locn_cty,locn_st_cd,zip_cd,zip_pls_4,locn_addr
7518,CLINTON             ,MD,20735,00000,RTE 5 AND WOODYARD       
4888,MADISONVILLE        ,KY,42431,00000,SEC CENTRAL CITY RD      
9404,ALBANY              ,NY,12205,00000,I 90 AND EVERETT         
9778,TOMAH               ,WI,53220,00000,US 12 N OF TOWN RD       
9730,LEEDS               ,AL,35094,00000,122 PARKWAY DRIVE SE     
9800,MARIANNA            ,FL,33711,00000,US HWY 90  SR 73 N E     
9763,EASTON              ,MD,21133,00000,US ROUTE 50 NORTHBOUND   
4889,GAFFNEY             ,SC,29412,00000,SC HWY 11 AT ELLIS FERRY 
4896,LAKE WORTH          ,TX,76135,03798,NWC LOOP 820 JACKSBORO   
4799,SOUTH HILL          ,VA,23452,00000,E/S US HWY 58            
7794,FLOWER MOUND        ,TX,75100,00000,SWC CROSS TIMBERS ROAD   
7840,MANTENO             ,IL,60950,00000,8374 N 4000 EAST         
7800,HOFFMAN ESTATES     ,IL,60179,00000,3333 BEVERLY ROAD        
4784,LONG BEACH          ,MS,39560,06114,214 EAST BEACH           
7705,TAMUNING            ,GU,96913,04109,404 N MARINE CORPS DR    
9423,BRIDGEHAMPTON       ,NY,11932,03040,BLDG 82 MONTAUK HIGHWAY  
3202,WESTWOOD            ,NJ,07675,01674,700 BROADWAY             
3074,MIAMI               ,FL,33183,04002,14091 SW 88TH ST         
